한강진,한강진,93,24:7:40,24:9:13
한강진,응암(하선-),8,5:43:10,5:43:18
한강진,응암(하선-),10,5:50:40,5:50:30
한강진,응암(하선-),27,5:57:40,5:58:7
한강진,응암(하선-),7,6:5:40,6:5:47
한강진,응암(하선-),19,6:13:40,6:13:59
한강진,응암(하선-),16,6:21:40,6:21:24
한강진,응암(하선-),25,6:29:40,6:30:5
한강진,응암(하선-),26,6:37:40,6:38:6
한강진,응암(하선-),29,6:45:40,6:46:9
한강진,응암(하선-),36,6:53:40,6:54:16
한강진,응암(하선-),3,7:1:40,7:1:43
한강진,응암(하선-),37,7:9:40,7:10:17
한강진,응암(하선-),5,7:17:40,7:17:35
한강진,응암(하선-),30,7:25:40,7:26:10
한강진,응암(하선-),3,7:33:40,7:33:37
한강진,응암(하선-),4,7:41:40,7:41:36
한강진,응암(하선-),3,7:49:40,7:49:43
한강진,응암(하선-),0,7:57:40,7:57:40
한강진,응암(하선-),13,8:5:40,8:5:53
한강진,응암(하선-),19,8:21:40,8:21:59
한강진,응암(하선-),9,8:29:40,8:29:31
한강진,응암(하선-),3,8:37:40,8:37:37
한강진,응암(하선-),3,8:45:40,8:45:37
한강진,응암(하선-),10,8:53:40,8:53:50
한강진,응암(하선-),7,9:1:40,9:1:47
한강진,응암(하선-),64,9:9:40,9:10:44
한강진,응암(하선-),4,9:17:40,9:17:44
한강진,응암(하선-),22,9:25:40,9:26:2
한강진,응암(하선-),41,9:33:40,9:34:21
한강진,응암(하선-),21,9:41:40,9:42:1
한강진,응암(하선-),18,9:49:40,9:49:58
한강진,응암(하선-),55,9:57:40,9:58:35
한강진,응암(하선-),25,10:5:40,10:6:5
한강진,응암(하선-),2,10:13:40,10:13:42
한강진,응암(하선-),8,10:21:40,10:21:32
한강진,응암(하선-),22,10:29:40,10:30:2
한강진,응암(하선-),16,10:37:40,10:37:56
한강진,응암(하선-),18,10:45:40,10:45:22
한강진,응암(하선-),17,10:53:40,10:53:57
한강진,응암(하선-),15,11:1:40,11:1:55
한강진,응암(하선-),18,11:9:40,11:9:58
한강진,응암(하선-),40,11:17:40,11:18:20
한강진,응암(하선-),29,11:25:40,11:26:9
한강진,응암(하선-),36,11:33:40,11:34:16
한강진,응암(하선-),41,11:41:40,11:42:21
한강진,응암(하선-),26,11:49:40,11:50:6
한강진,응암(하선-),3,11:57:40,11:57:43
한강진,응암(하선-),18,12:5:40,12:5:58
한강진,응암(하선-),6,12:13:40,12:13:46
한강진,응암(하선-),14,12:21:40,12:21:54
한강진,응암(하선-),38,12:29:40,12:30:18
한강진,응암(하선-),43,12:37:40,12:38:23
한강진,응암(하선-),19,12:45:40,12:45:59
한강진,응암(하선-),22,12:53:40,12:54:2
한강진,응암(하선-),17,13:1:40,13:1:57
한강진,응암(하선-),29,13:9:40,13:10:9
한강진,응암(하선-),28,13:17:40,13:17:12
한강진,응암(하선-),41,13:25:40,13:26:21
한강진,응암(하선-),62,13:33:40,13:34:42
한강진,응암(하선-),80,13:41:40,13:43:0
한강진,응암(하선-),21,13:49:40,13:50:1
한강진,응암(하선-),19,13:57:40,13:57:21
한강진,응암(하선-),16,14:13:40,14:13:56
한강진,응암(하선-),29,14:29:40,14:30:9
한강진,응암(하선-),26,14:37:40,14:38:6
한강진,응암(하선-),11,14:45:40,14:45:51
한강진,응암(하선-),22,14:53:40,14:54:2
한강진,응암(하선-),6,15:1:40,15:1:46
한강진,응암(하선-),18,15:9:40,15:9:58
한강진,응암(하선-),63,15:17:40,15:18:43
한강진,응암(하선-),11,15:25:40,15:25:51
한강진,응암(하선-),54,15:33:40,15:34:34
